Country,Happiness Rank,Happiness Score,Economy,Family,Health,Freedom,Generosity,Corruption,Dystopia,Job Satisfaction,Region
Mexico,25,6.578000069,1.153183818,1.21086216,0.709978998,0.412730008,0.120990433,0.132774115,2.837154865,82.4,latin_america
Bolivia,58,5.822999954,0.8337565659999999,1.227619052,0.47363025,0.558732927,0.225560725,0.060477726,2.443279028,84.7,latin_america
Venezuela,82,5.25,1.128431201,1.431337595,0.617144227,0.153997123,0.06501963,0.064491123,1.789463758,90.1,latin_america
Uruguay,28,6.453999996,1.217559695,1.412227869,0.7192168240000001,0.5793922539999999,0.17509692899999998,0.178061873,2.1724095340000003,82.0,latin_america
El Salvador,45,6.002999783,0.909784496,1.182125092,0.596018553,0.43245253,0.078257985,0.08998096,2.714593887,80.9,latin_america
Peru,63,5.715000152999999,1.035225272,1.218770385,0.6301661129999999,0.450002879,0.126819715,0.047049087,2.20726943,77.4,latin_america
Honduras,91,5.181000233,0.730573118,1.143944979,0.58256948,0.34807986,0.236188874,0.073345453,2.065811157,83.1,latin_america
Belize,50,5.9559998510000005,0.907975316,1.081417799,0.450191766,0.547509372,0.240015641,0.096581072,2.631955624,84.1,latin_america
Paraguay,70,5.493000031,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349,84.5,latin_america
Dominican Republic,86,5.230000018999999,1.079373837,1.402416706,0.574873745,0.552589834,0.18696785,0.113945253,1.31946516,72.7,latin_america
Costa Rica,12,7.078999996,1.109706283,1.416403651,0.759509265,0.58013165,0.214613229,0.100106589,2.898639202,89.9,latin_america
Nicaragua,43,6.071000099,0.737299204,1.28721571,0.653095961,0.447551847,0.301674217,0.13068798199999998,2.513930559,82.3,latin_america
Ecuador,44,6.007999897,1.000820398,1.286168814,0.6856362220000001,0.455198199,0.150112465,0.140134647,2.290352583,83.0,latin_america
Colombia,36,6.356999874,1.070622325,1.402182937,0.5950279239999999,0.477487415,0.149014473,0.046668742,2.616068125,82.7,latin_america
Guatemala,29,6.453999996,0.8720019459999999,1.255585194,0.54023999,0.531310618,0.283488393,0.077223279,2.8938910960000004,88.1,latin_america
Argentina,24,6.598999977,1.185295463,1.440451145,0.6951370840000001,0.494519204,0.109457061,0.059739888,2.614005327,79.8,latin_america
Jamaica,76,5.31099987,0.925579309,1.368218064,0.641022384,0.474307239,0.233818337,0.055267781,1.6123256680000002,78.1,latin_america
Haiti,145,3.602999926,0.368610263,0.640449822,0.27732113,0.030369857000000007,0.489203781,0.09987215,1.697167635,48.5,latin_america
Chile,20,6.65199995,1.25278461,1.2840249540000002,0.819479704,0.376895279,0.32666242100000004,0.082287982,2.509585857,79.8,latin_america
Panama,30,6.452000141,1.233748436,1.373192549,0.706156135,0.550026834,0.210556939,0.070983924,2.307199955,88.3,latin_america
Trinidad and Tobago,38,6.168000221000002,1.361355901,1.380228519,0.519983292,0.518630743,0.325296462,0.008964816,2.053247452,82.1,latin_america
Brazil,22,6.635000229,1.10735321,1.431306005,0.616552353,0.437453747,0.162349895,0.111092761,2.769267082,79.8,latin_america
